subject1,subject4,subject5,subject6,subject7
-2.3248534,-1.1583099,-0.72772104,-0.009349823,0.43227178
0.51783675,0.6335641,0.164151,1.4266357,-0.65742034
0.8803444,-0.39490432,0.37402505,1.5320679,-0.7036405
0.25239563,-0.7447632,-0.008888269,0.24083786,-0.17884064
-0.2755009,-0.04136734,-0.2395111,-0.035401154,-0.7093369
-0.7177246,-0.034690857,-0.6472122,1.2203003,-0.7046444
0.17720008,-0.64738005,0.96833193,0.90343016,-1.4537414
0.44009703,0.086868666,0.5347229,-0.15048485,0.43538705
-1.4411987,-0.1928811,0.65259707,1.738794,0.051779937
0.58798754,-0.9815308,0.9048157,0.28851184,-0.2795887
0.36773223,-2.0307374,-0.04388733,1.0105705,-1.3139099
-0.7605438,0.59128416,0.36375886,1.1811008,-0.59892523
0.009565473,1.8770263,-0.08293495,0.21402912,-1.104126
-0.139328,-1.0795044,-0.40211487,2.1744263,-0.60382617
-0.42707404,-1.161869,0.111636356,0.24506226,-1.0509949
-0.34106046,-1.5588379,-0.31701145,1.1098068,-0.31217417
1.0429566,0.57314146,0.72402954,0.4995331,-0.03902092
-0.637471,-1.2695656,-0.0741127,0.8770386,-0.6785828
-1.4754028,-0.9889374,0.6546513,-0.35994512,0.5542946
-1.0576721,-1.2991089,-1.2218933,2.347339,0.8485878
-1.8005371,-0.28649226,-0.32273713,0.7428438,0.5694423
-0.22028475,-0.89732665,-0.7232563,0.09667482,-1.1006714
1.9868408,-0.115266226,-0.2575062,1.5816406,0.9522888
-0.58518946,-0.5534363,-0.6775543,0.7797607,-0.2764225
0.20341988,-3.5841308,-1.0599365,2.206128,-0.7342804
0.23589706,-0.2760276,-1.7579346,0.6272236,0.11030789
0.22040215,-0.52244604,-0.4440155,0.858,-1.9171631
-0.6278575,-1.4750977,-0.37651366,1.3650329,0.69369185
0.43514863,0.33203202,0.6071289,1.2400526,0.15777645
-0.8831657,0.57958984,0.021959018,-0.03343735,-0.179245
-0.22378883,-0.021677207,-0.4966728,0.48063126,-0.57869494
1.4877685,-0.7646545,-1.0883545,1.20625,0.96313477
-0.3278431,-1.362561,1.2662109,0.99146575,0.16590425
0.34309942,0.5591675,1.0549195,1.0893676,-0.5019409
0.16693744,-0.8827569,0.806599,1.0219758,1.583142
0.12044947,-0.84022826,0.5781086,2.4229736,-0.17805748
-0.10458727,0.19912644,-0.39297467,-0.74792176,-1.6178467
0.42851314,0.23346779,-0.44488716,1.5174134,0.051538467
1.3689209,-0.20625801,0.42797834,1.1643616,-0.4204279
0.54572487,0.05272446,0.46803054,2.4099853,-0.03503575
0.7124756,-1.6047852,0.13168497,0.18869953,2.4126465
-1.5321167,-0.523221,1.2885987,0.52132654,-0.5239668
0.31687316,-0.6225891,1.8540589,2.03833,-1.9310058
1.3026245,0.42169458,0.91861266,0.6556816,1.0846084
0.9976746,-0.6133083,0.24322967,0.4482153,-0.4429187
0.810907,0.64139634,0.1916596,0.65258026,0.16853543
-0.8569458,-0.5180756,1.5072266,1.2572784,0.17624578
0.2945362,-0.2833291,-0.41231307,1.1503174,-1.304486
-1.5959473,-0.38091582,-1.143866,0.8298508,0.09926045
1.430774,0.4122196,0.053412437,1.3537353,-0.40328178
0.16741486,0.27437744,0.74166715,0.7581825,0.7227373
1.026709,-0.6408264,-0.6206932,0.7704369,-1.2755629
-0.35540026,-2.4541504,1.0946045,1.7661377,0.3292221
0.07785535,-0.61395323,0.31279022,0.7777649,0.4288414
-0.2838421,-0.622229,-0.039268494,0.011604333,-0.6244343
1.4867798,0.87162477,0.3136322,1.107988,-0.5817851
0.40073127,1.772754,-0.008603287,1.3759094,1.646466
-1.1557739,-0.9821533,-0.0008386612,0.5455643,-1.9447266
0.7085611,-1.3954712,-0.26235047,1.0439148,0.62889403
-0.27535743,-0.33342284,0.85858613,0.73291034,0.7280022
-0.785614,0.7239975,0.87695616,0.25480348,0.22807303
0.6616821,0.9872559,0.0048389435,0.71908873,0.28327426
-1.1326904,-0.05045252,1.4574096,0.54324114,-0.80266917
1.5029786,-0.115420535,-0.70527345,1.4662231,0.28546515
0.26599503,0.46463013,-0.08995094,1.4870605,-0.959375
0.7239807,-0.87877876,-0.86536485,1.1099304,-0.3202134
-1.7022187,0.29570922,-0.09056549,0.70306396,-0.21062775
-0.1790165,-0.8316528,-1.364502,1.4333923,-0.31326753
-0.95426023,-0.15980415,0.042295836,1.1180184,-0.7477853
0.391951,-0.39808503,0.6099121,1.2895752,-1.0677643
3.3293946,-0.2524584,-0.08284149,0.90003663,-0.09298859
1.0317024,-0.7543465,0.47582632,1.12594,-0.46403122
1.6088378,-0.32720557,0.2117259,-0.45692778,-0.5500946
0.48956567,0.1856678,0.34855348,0.90799636,0.29821855
0.013012091,0.20564575,-1.0620849,0.7784033,-0.7184502
0.61308897,-0.056539156,-0.35826835,-0.22524032,0.10520935
-2.3201416,-0.50370437,0.51698303,0.98399657,-0.34819794
0.01319809,2.3800292,0.65762025,1.3131225,-1.4428467
-0.38149413,0.7060665,-1.6130005,1.4445114,0.3710327
0.8338318,-0.23470764,-0.37427902,1.2900207,-1.4149292
1.0772216,-1.1536071,0.13678102,-0.18422547,-0.27802736
0.10696983,1.0517762,0.620903,1.4038452,0.36578876
0.7065197,0.122378156,0.10236168,0.62141836,-0.071788445
1.2440307,1.5787964,0.5961641,2.3364015,-1.1464294
0.08471265,-0.3935814,1.2062012,1.1082798,-0.707135
1.1893921,-1.9820557,-0.057892464,1.768274,1.4644897
0.31482545,-0.27751312,0.33132973,1.2777771,-0.51727754
-0.24123994,0.3181459,0.052209474,-0.27167472,0.17212372
0.48529053,-1.8111572,-0.03716545,0.68572235,-1.3132111
-0.6190155,-0.25898433,-0.13546848,1.1078857,0.43227196
0.62611926,-0.6204773,1.2321656,0.30582982,-0.52505493
0.42517263,1.1585572,0.28360957,1.370044,0.06163168
0.07799397,-0.19086981,0.0033004761,1.229779,0.19125672
-0.77751464,-1.0037658,-0.38644588,1.0577042,-1.0115525
-0.4792282,1.0641358,-0.90026855,1.1341553,-1.1521702
0.96487653,-0.22679405,-0.64190066,0.08425293,1.6445557
0.15619747,-0.65608674,-1.4420288,1.7446045,-0.4819916
0.4542635,-0.9265137,0.14550705,2.2437744,0.8712662
1.4053589,-0.16889763,0.6419098,1.8538818,-0.8436691
0.11527252,-0.8958923,0.5749466,0.28605586,-0.06847496
0.49379882,1.3614013,-0.2539177,1.755542,0.34008485
0.42144147,-0.17623444,1.1934936,0.4092575,-0.49233475
0.3956646,0.1177969,2.269043,-0.09611893,-0.14356045
0.1499378,0.22630271,1.0198395,0.3935156,0.3669258
0.5504303,2.0986938,-1.6083984,1.5079346,-0.5385666
-2.1981933,-2.061499,-0.38860244,-0.26636392,-0.2815876
0.49021834,0.16606846,1.2260376,0.2176239,0.36838073
1.3697876,-0.08913422,-0.083385274,0.5683998,-0.75660247
-1.3458374,-0.12572555,0.6097717,1.2708801,-0.35190332
-0.20762329,-0.52501935,-1.5557007,0.8251465,0.28541908
1.6728516,-0.42426568,-1.0573028,0.4102215,-0.2961834
